Campaign,N_runs,Base_coverage_percent,AR_mean_percent,AR_sd_percent,AR_ci95_low_percent,AR_ci95_high_percent,Deaths_mean,Deaths_sd,Deaths_ci95_low,Deaths_ci95_high,PeakI_mean,PeakI_sd,PeakI_ci95_low,PeakI_ci95_high
Base 60%,100,60,28.5099555555556,6.79728369036321,27.1776879522444,29.8422231588667,68.25,18.0372090161119,64.7147070328421,71.7852929671579,231.26,49.413656967983,221.574923234275,240.945076765725
Ring d15,100,60,20.2130222222222,5.78729190782592,19.0787130082883,21.3473314361561,48.36,16.3290161270288,45.1595128391023,51.5604871608977,183.08,49.3254866814676,173.412204610432,192.747795389568
SIA d20 +20%,100,60,16.4414666666667,4.76536358351099,15.5074554042985,17.3754779290348,37.21,12.2798142650383,34.8031564040525,39.6168435959475,131.02,36.2934114843413,123.906491349069,138.133508650931
Child catch-up d10,100,60,16.4837777777778,5.23391990726933,15.457929475953,17.5096260796026,42.9,15.7342192868174,39.8160930197838,45.9839069802162,134.37,40.0450894857184,126.521162460799,142.218837539201
Combined,100,60,9.79866666666667,4.40365341641423,8.93555059704948,10.6617827362839,23.89,12.577754131398,21.424760190246,26.355239809754,90.54,35.4168310156615,83.5983011209304,97.4816988790697
Routine 92%,100,92,0.848044444444444,0.717411398781504,0.70743181028327,0.988657078605619,1.38,1.99382886310574,0.989209542831274,1.77079045716873,19.62,4.60737222154655,18.7169550445769,20.5230449554231
