Archetype,Z_viral_burden,Z_infectious_duration,Z_immune_deficit,Z_infectivity_burden,Z_deficit_AUC_interaction,Z_total,M_emergent
Healthy adult,-3.62908654341655e-05,-0.933333333333333,0,-0.0247066398009138,0,-0.958076263999681,0.000950333060733863
Child,-0.179061874566612,-0.933333333333333,1.65862581452534,0.38020659068484,0.525517055135456,1.45195425244569,0.0103595771914389
Elderly,0.389667237838286,-0.933333333333333,1.79955042835714,0.434277706933006,0.651253861281038,2.34141590107613,0.0244076790063599
Immunocomp.,0.20580433034156,-0.4,1.98013167930429,1.23582372778992,2.03924476119395,5.06100449862972,0.209388132786459
Partial vacc,-0.00747055644316566,-0.933333333333333,0.819018870723895,-0.0191122582458461,0,-0.14089727729845,0.00214592389318686
Full vacc,-5.42027238807294,-0.933333333333333,0,-0.76586217011829,0,-7.11946789152456,1e-05
