Scenario,DC_mode,DC_active,CTL_active,Peak_V,t_peak_days,T_clear_days,Peak_Ag,Peak_A17,Peak_Ab,Peak_R,AUC_beta,AUC_Ag,AUC_A17,AUC_A17_to_Ag_ratio,t50_sigma17_days,t90_sigma17_days,Peak_V_change_percent,T_clear_change_days,AUC_beta_change_percent,Architecture_role
No therapy,multiplicative,0,0,64.3751966522561,8.40114828950012,68.8904307312086,1.19011240967301,0.112238285200316,2.30978590782199,771.942809028717,26.3880903843908,7.21268090984145,0.506403953883053,0.0702102256030879,10.0383052268947,23.2084203830186,0,0,0,main multiplicative therapy scenario
DC therapy,multiplicative,1,0,64.3751966522561,8.40114828950012,68.9251337772653,1.19011240967301,0.112238285200316,2.33198647005297,771.794053401195,26.387964146284,7.21378425000792,0.541959325309058,0.0751282969557155,10.0383052268947,23.2118354648121,0,0.0347030460567055,-0.000478390459437039,main multiplicative therapy scenario
CTL transfer,multiplicative,0,1,63.5777028963786,8.38014790746182,60.1728680760382,33.663406688417,161.466481036663,2.2650085143236,710.042705330008,22.462202950613,552.979914209079,3523.17374619769,6.37125084594952,10.0821554002593,23.625296163987,-1.23882146750625,-8.71756265517034,-14.8774972974175,main multiplicative therapy scenario
DC + CTL,multiplicative,1,1,63.5777028963786,8.38014790746182,54.143620188293,33.663406688417,299.881921842684,2.28465070061369,709.258753119175,21.0957211202876,811.91522209629,5990.40480015824,7.37811613470131,10.0821554002593,23.6452563523718,-1.23882146750625,-14.7468105429156,-20.0559009273131,main multiplicative therapy scenario
DC additive control,additive_control,1,0,64.3751966522561,8.40114828950012,44.8731169072006,85.8928587564268,680.236942591218,2.42756440605139,768.290793930621,43.0484440398346,1580.97744163933,22372.1393795423,14.1508277033633,10.0383052268947,23.2791291227719,0,-24.0173138240079,63.1358821830427,diagnostic additive-control scenario; not propagated to CA
