Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier2_coupling_surrogate,M_bar_pop_weighted,a1,a_1,-0.0939066858122739,0.00209884546162829,0,0.00209884546162829,0,0,0.00173653725021866,0.00253351318285059,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_bar_pop_weighted,a2,a_2,-0.0666517900637687,0.0348157314360418,0,0.0348157314360418,0,0,0.0271089041716091,0.0451065625016582,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_bar_pop_weighted,a3,a_3,0.0898712628077079,0.145972890333421,0.0898712628077079,0.145972890333421,0,0.240219606865716,0.111580975122915,0.18018219730969,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_bar_pop_weighted,a4,a_4,-0.00156620931116116,0.0145785239837489,0,0.0145785239837489,0,0.0445029746585565,0.0122956199656895,0.0178474565345871,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_bar_pop_weighted,z0,z_0,1.00613026512493,0.952886713873666,1,0.952886713873666,0.637463427097127,1,0.80824051287821,1,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_bar_pop_weighted,lambda,\lambda,0,0,0,0,0,0,0,0,0.000190477571255955,256,0
Tier2_coupling_surrogate,M_IC,a1,a_1,-0.180910121961546,0.00281579275072491,0,0.00281579275072491,0,0,0.00236839303908405,0.00351407931093835,0.00774820717596995,256,0
Tier2_coupling_surrogate,M_IC,a2,a_2,-0.0245100668582085,0.00562810719973347,0,0.00562810719973347,0,0.0170410780866609,0.00467036041006755,0.00668278783941135,0.00774820717596995,256,0
Tier2_coupling_surrogate,M_IC,a3,a_3,0.0677411024056378,0.155207757939974,0.0677411024056378,0.155207757939974,0,0.285284798771181,0.124706080078419,0.185161412856262,0.00774820717596995,256,0
Tier2_coupling_surrogate,M_IC,a4,a_4,0.0183881143295871,0.0543108808335862,0.0183881143295871,0.0543108808335862,0,0.147101714087293,0.0448137374771099,0.0663880355432267,0.00774820717596995,256,0
Tier2_coupling_surrogate,M_IC,z0,z_0,0.957517452137309,0.862646350321946,0.957517452137309,0.862646350321946,0.454918195595173,1,0.74595123321731,0.999108713043967,0.00774820717596995,256,0
Tier2_coupling_surrogate,M_IC,lambda,\lambda,0,0,0,0,0,0,0,0,0.00774820717596995,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,a1,a_1,0,0,0,0,0,0,0,0,0.00369255426260358,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,a2,a_2,0,0,0,0,0,0,0,0,0.00369255426260358,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,a3,a_3,0,0,0,0,0,0,0,0,0.00369255426260358,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,a4,a_4,0,0,0,0,0,0,0,0,0.00369255426260358,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,z0,z_0,0,0,0,0,0,0,0,0,0.00369255426260358,256,0
Tier2_coupling_surrogate,AR_surrogate_60pct,lambda,\lambda,0.963843697807019,1.02159904372551,0.963843697807019,1,0.525921935032925,1,0.921707120757018,1,0.00369255426260358,256,0
