Form,Label,Archetype,Peak_V,t_peak,t_clear,Peak_Ag,Peak_R,Peak_Ab,AUC_beta,M_emergent
log,log(1+R),Healthy adult,57.4188423330629,7.43639945167332,17.5279664422454,119.820945770457,509.442247599208,5.48895460463253,12.7323447354901,0.00123995949851515
log,log(1+R),Child (<5 y),51.9828499479466,8.62630415410675,24.071396555679,20.4483137099319,516.322876810522,3.04781411598479,17.1189047324191,0.0254404364959513
log,log(1+R),Elderly (>65 y),71.2984418319394,7.33343833522741,24.3488067276316,12.0069293414076,659.974381377885,2.61219729177519,17.7046751584409,0.0572747314530335
log,log(1+R),Immunocompromised,64.3751966522561,8.40114828950012,38.1675636879648,1.19011240967301,771.942809028717,2.30978590782199,26.3880903843908,0.254197441693625
log,log(1+R),Partial vaccine,57.1821830976617,10.4431092514795,5.0024150776487,70.7407696436387,493.95714326952,9.49234429671176,12.79295053567,0.00214592389318686
log,log(1+R),Fully vaccinated,2.8267573355428,12.0697664823684,5.0028098871719,252.344440744808,0.377330663791894,30,4.70315982371853,1e-05
michaelis_menten,R/(K_R+R),Healthy adult,57.4188423330629,7.43639945167332,17.5272249170385,119.669902616755,509.885794166248,0.728653383305431,12.7325885102132,0.00124267594574981
michaelis_menten,R/(K_R+R),Child (<5 y),51.9828499479466,8.62630415410675,24.0714045068874,20.3835100748985,516.932374655165,0.397911806158838,17.1192266458896,0.0254763544602901
michaelis_menten,R/(K_R+R),Elderly (>65 y),71.2984418319394,7.33343833522741,24.3473756493317,11.9636942524236,660.472288536774,0.347199306586082,17.7049836588107,0.0573274463249668
michaelis_menten,R/(K_R+R),Immunocompromised,64.3751966522561,8.40114828950012,38.205820099168,1.19011240967301,773.144292643544,0.299666902027509,26.3887365874383,0.2542149257952
michaelis_menten,R/(K_R+R),Partial vaccine,57.1824452492873,10.4487141150077,5.0024150776487,70.3923688155259,495.876619108954,3,12.793861863907,0.00215858015090825
michaelis_menten,R/(K_R+R),Fully vaccinated,2.82753323544975,12.0713682319244,5.0028098871719,252.561220736434,0.377605377912666,30,4.70400876724598,1e-05
hill,Hill,Healthy adult,57.4188423330629,7.43639945167332,17.5256443252161,119.67349888184,509.874777663102,0.846046116811279,12.7325826802108,0.00124260087958759
hill,Hill,Child (<5 y),51.9828499479466,8.62630415410675,24.0729005079225,20.3850210124804,516.916738952985,0.466163609378649,17.1192190814456,0.0254755161421647
hill,Hill,Elderly (>65 y),71.2984418319394,7.33343833522741,24.3476134272096,11.9645519328934,660.462204463244,0.409386181867251,17.7049775110629,0.0573263998475545
hill,Hill,Immunocompromised,64.3751966522561,8.40114828950012,38.2049563879672,1.19011240967301,773.12072161295,0.346989336112601,26.3887248047302,0.254214606997586
hill,Hill,Partial vaccine,57.1826587344639,10.4437429973782,5.0024150776487,70.4014454193966,495.823074857949,3,12.7938376578863,0.0021582642911276
hill,Hill,Fully vaccinated,2.82752799562213,12.0732696338982,5.0028098871719,252.563703112235,0.377602154950708,30,4.70401725543089,1e-05
