Strategy,N_runs,Base_coverage_percent,AR_mean_percent,AR_sd_percent,AR_ci95_low_percent,AR_ci95_high_percent,Deaths_mean,Deaths_sd,Deaths_ci95_low,Deaths_ci95_high,PeakI_mean,PeakI_sd,PeakI_ci95_low,PeakI_ci95_high
No therapy,100,60,27.7428,6.29689607458203,26.5086083693819,28.9769916306181,65.42,16.1127216192609,62.2619065626249,68.5780934373751,224.64,45.7868403307626,215.665779295171,233.614220704829
CTL->Child,100,60,26.9996,6.03692650230345,25.8163624055485,28.1828375944515,57.75,14.0017134593585,55.0056641619657,60.4943358380343,215.37,44.5941643598072,206.629543785478,224.110456214522
DC+CTL->IC,100,60,28.1904444444444,6.84219696873908,26.8493738385716,29.5315150503173,36.31,9.83057999460373,34.3832063210577,38.2367936789423,230,55.8685325500226,219.049767620196,240.950232379804
CTL->Elderly,100,60,28.3139111111111,5.53054939337789,27.229923430009,29.3978987922132,56.05,14.390214829122,53.2295178934921,58.8704821065079,223.33,42.0747422974157,215.083350509707,231.576649490293
All vulnerable,100,60,25.3797333333333,6.31992979672169,24.1410270931759,26.6184395734908,11.87,4.34300784845217,11.0187704617034,12.7212295382966,201.8,46.5346617853267,192.679206290076,210.920793709924
