Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier1_within_host,peak_V,beta,\beta,-0.935673368675705,0.285021050160606,0,0.285021050160606,0,0,0.262737130052126,0.308765603525053,876.331887689886,1024,0
Tier1_within_host,peak_V,k,k,0.0145385161610223,0.00537011401389959,0.0145385161610223,0.00537011401389959,0.00458372041247907,0.0270320084627386,0.00464772547526754,0.00610362115184333,876.331887689886,1024,0
Tier1_within_host,peak_V,p,p,0.435878840536701,0.415023814579523,0.435878840536701,0.415023814579523,0.334515205696171,0.531629170495649,0.378940328754146,0.447237535484135,876.331887689886,1024,0
Tier1_within_host,peak_V,q,q,0.0615327080625149,0.0443824232131582,0.0615327080625149,0.0443824232131582,0.0314336032218475,0.0856930952505801,0.0389805222891406,0.0508604991507902,876.331887689886,1024,0
Tier1_within_host,peak_V,c,c,0.257837165317153,0.254341417329183,0.257837165317153,0.254341417329183,0.169712076694269,0.33754191574073,0.232545399520562,0.27624959659135,876.331887689886,1024,0
Tier1_within_host,peak_V,delta,\delta,0.0252904695333869,0.0351745740370855,0.0252904695333869,0.0351745740370855,0,0.0558553564402264,0.0316418090744814,0.0387372170891962,876.331887689886,1024,0
Tier1_within_host,peak_V,rho_R,\rho_R,-4.115150198214e-07,2.61323947715078e-10,0,2.61323947715078e-10,0,1.763767521762e-06,2.2816480030001e-10,2.94505813228308e-10,876.331887689886,1024,0
Tier1_within_host,peak_V,mu_R,\mu_R,1.47456992688629e-07,8.7812810848268e-11,1.47456992688629e-07,8.7812810848268e-11,0,1.58760873528279e-06,6.62763839733546e-11,1.07070384033497e-10,876.331887689886,1024,0
Tier1_within_host,peak_V,rho_Ab,\rho_{Ab},3.02104318844936e-08,4.54537370889813e-13,3.02104318844936e-08,4.54537370889813e-13,0,9.01292724919952e-08,0,1.22746789110331e-12,876.331887689886,1024,0
Tier1_within_host,peak_V,theta_Ab,\theta_{Ab},1.04563157361908e-10,4.63838188832766e-18,1.04563157361908e-10,4.63838188832766e-18,0,3.16500893305417e-10,0,1.33398134880634e-17,876.331887689886,1024,0
Tier1_within_host,peak_V,alpha_t,\alpha_t,-3.02528814016804e-06,4.18819813191382e-10,0,4.18819813191382e-10,0,0,3.71412265556279e-10,4.74649235649338e-10,876.331887689886,1024,0
Tier1_within_host,peak_V,alpha_R,\alpha_R,-3.70745621157017e-06,3.74389268753939e-10,0,3.74389268753939e-10,0,2.37300500560607e-08,3.34287045655976e-10,4.17162652923842e-10,876.331887689886,1024,0
Tier1_within_host,peak_V,kappa17,\kappa_{17},-1.34015524606899e-06,2.42381948546485e-10,0,2.42381948546485e-10,0,7.40449517532793e-07,2.147203262143e-10,2.76594331388839e-10,876.331887689886,1024,0
Tier1_within_host,peak_V,t17,t_{17},-2.0377634233092e-06,4.24945712087923e-10,0,4.24945712087923e-10,0,9.67577414235759e-07,3.83475543234665e-10,4.73207782024594e-10,876.331887689886,1024,0
Tier1_within_host,t_clear,beta,\beta,-2.3344731321783,0.292498361429626,0,0.292498361429626,0,0,0.269528538366491,0.313884628715596,20.6415818094864,1024,0
Tier1_within_host,t_clear,k,k,0.0428080416051567,0.0101799777678925,0.0428080416051567,0.0101799777678925,0.0159399785523722,0.0735158368628777,0.00891017375631423,0.0115835585398631,20.6415818094864,1024,0
Tier1_within_host,t_clear,p,p,0.163871478113418,0.180435485108017,0.163871478113418,0.180435485108017,0.0452646316673286,0.302789149140443,0.158904003649856,0.197808258990853,20.6415818094864,1024,0
Tier1_within_host,t_clear,q,q,0.35655550629119,0.411093112220291,0.35655550629119,0.411093112220291,0.1080948300845,0.565211785957804,0.374132523484132,0.451693770018067,20.6415818094864,1024,0
Tier1_within_host,t_clear,c,c,0.139082983764051,0.176296645298059,0.139082983764051,0.176296645298059,0.0173420393468646,0.302815135751802,0.157859648985583,0.19665139803304,20.6415818094864,1024,0
Tier1_within_host,t_clear,delta,\delta,0.0965422868361043,0.229203498312091,0.0965422868361043,0.229203498312091,0,0.246126545958019,0.20443374669298,0.253069791961022,20.6415818094864,1024,0
Tier1_within_host,t_clear,rho_R,\rho_R,0.000895289599232665,4.92702969531597e-06,0.000895289599232665,4.92702969531597e-06,0.000176463536293449,0.00174401913837145,4.03645286550124e-06,5.74335033537033e-06,20.6415818094864,1024,0
Tier1_within_host,t_clear,mu_R,\mu_R,0.000671358508016268,3.4986898277481e-06,0.000671358508016268,3.4986898277481e-06,1.70666412964122e-05,0.00118520227551089,2.83168421458458e-06,4.15425977085371e-06,20.6415818094864,1024,0
Tier1_within_host,t_clear,rho_Ab,\rho_{Ab},0.00031359648354638,3.54408262598438e-06,0.00031359648354638,3.54408262598438e-06,0,0.00095211102598814,2.90769115180107e-06,4.15829257054901e-06,20.6415818094864,1024,0
Tier1_within_host,t_clear,theta_Ab,\theta_{Ab},-2.38158457752667e-05,4.27892921125584e-07,0,4.27892921125584e-07,0,0.000140102758835606,8.01118959316179e-08,7.68679253606164e-07,20.6415818094864,1024,0
Tier1_within_host,t_clear,alpha_t,\alpha_t,0.000360289151393317,5.30820107564116e-06,0.000360289151393317,5.30820107564116e-06,0,0.00129789818337459,4.40893385494904e-06,6.30705804891054e-06,20.6415818094864,1024,0
