Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier1_within_host,peak_V,beta,\beta,-0.93496455351107,0.290889714122247,0,0.290889714122247,0,0,0.264548149052361,0.322799435421631,866.21598874685,512,0
Tier1_within_host,peak_V,k,k,0.0163476264284398,0.0055954948946041,0.0163476264284398,0.0055954948946041,0.00116140824456508,0.0294193570177244,0.00455363721056709,0.00667573303131981,866.21598874685,512,0
Tier1_within_host,peak_V,p,p,0.423217290242119,0.414424264859798,0.423217290242119,0.414424264859798,0.315944533359862,0.579413062217695,0.373863995101165,0.47208549597082,866.21598874685,512,0
Tier1_within_host,peak_V,q,q,0.0657936507437054,0.0459000768150003,0.0657936507437054,0.0459000768150003,0.0173981479129255,0.118667354596862,0.0386780809260395,0.05365718308651,866.21598874685,512,0
Tier1_within_host,peak_V,c,c,0.251591823123783,0.237407540333995,0.251591823123783,0.237407540333995,0.131652543604322,0.398459328908139,0.217139770696617,0.264632466873693,866.21598874685,512,0
Tier1_within_host,peak_V,delta,\delta,0.0175443884491268,0.0365208903744524,0.0175443884491268,0.0365208903744524,0,0.054231148966794,0.0316201586841352,0.0417710328754935,866.21598874685,512,0
Tier1_within_host,peak_V,rho_R,\rho_R,-1.69050153093014e-06,2.36565322193192e-10,0,2.36565322193192e-10,0,1.38415957124423e-06,1.98117002184028e-10,2.77762008433608e-10,866.21598874685,512,0
Tier1_within_host,peak_V,mu_R,\mu_R,-8.14747761181187e-09,8.79710122019817e-11,0,8.79710122019817e-11,0,1.9879674123201e-06,6.63310083364407e-11,1.17690530495056e-10,866.21598874685,512,0
Tier1_within_host,peak_V,rho_Ab,\rho_{Ab},5.16585030038856e-09,3.15208029201249e-13,5.16585030038856e-09,3.15208029201249e-13,0,1.64569675050714e-08,0,1.00416543110286e-12,866.21598874685,512,0
Tier1_within_host,peak_V,theta_Ab,\theta_{Ab},1.19824924903373e-11,1.69593018141389e-18,1.19824924903373e-11,1.69593018141389e-18,0,3.81729005055393e-11,0,5.40276358459299e-18,866.21598874685,512,0
