Tier,QoI,Parameter,Parameter_display,S1_raw,ST_raw,S1_clipped,ST_clipped,S1_ci95_low,S1_ci95_high,ST_ci95_low,ST_ci95_high,QoI_variance,N_valid,Low_variance_flag
Tier1_within_host,peak_V,beta,\beta,-0.9579305267348,0.273855705584527,0,0.273855705584527,0,0,0.264280785367269,0.28769706851783,896.565272411503,4096,0
Tier1_within_host,peak_V,k,k,0.0179621080318494,0.00496641450918527,0.0179621080318494,0.00496641450918527,0.0119166308561667,0.0245487989173945,0.00464707810466035,0.00535385419486496,896.565272411503,4096,0
Tier1_within_host,peak_V,p,p,0.500240285738063,0.437029747711913,0.500240285738063,0.437029747711913,0.447888556042516,0.544896608292356,0.425162568624202,0.453908078900703,896.565272411503,4096,0
Tier1_within_host,peak_V,q,q,0.0713699595279959,0.0465281121145093,0.0713699595279959,0.0465281121145093,0.0553668025389132,0.0874846733059637,0.0439370876143538,0.0487415422148167,896.565272411503,4096,0
Tier1_within_host,peak_V,c,c,0.242325375184791,0.252075392566131,0.242325375184791,0.252075392566131,0.199050793767125,0.288763485767892,0.239938782375428,0.261582601389468,896.565272411503,4096,0
Tier1_within_host,peak_V,delta,\delta,0.0342388201258919,0.036682267097392,0.0342388201258919,0.036682267097392,0.0207431474243179,0.0507661831152409,0.0352275996735806,0.0382272696590056,896.565272411503,4096,0
Tier1_within_host,peak_V,rho_R,\rho_R,-2.9348563566847e-07,2.6160087268547e-10,0,2.6160087268547e-10,0,9.46617449837642e-07,2.40864351281177e-10,2.80844175068698e-10,896.565272411503,4096,0
Tier1_within_host,peak_V,mu_R,\mu_R,-2.48989389431835e-07,8.7639359223196e-11,0,8.7639359223196e-11,0,5.18657643815373e-07,7.99305505013449e-11,9.81714950703693e-11,896.565272411503,4096,0
Tier1_within_host,peak_V,rho_Ab,\rho_{Ab},2.28051800361127e-08,3.36859071656518e-13,2.28051800361127e-08,3.36859071656518e-13,0,6.70620475291459e-08,0,9.43488667914165e-13,896.565272411503,4096,0
Tier1_within_host,peak_V,theta_Ab,\theta_{Ab},-1.00232227564822e-09,1.06592571858057e-15,0,1.06592571858057e-15,0,7.77161954808125e-11,0,3.26436297217144e-15,896.565272411503,4096,0
Tier1_within_host,peak_V,alpha_t,\alpha_t,-1.3073202253309e-06,3.90343468638944e-10,0,3.90343468638944e-10,0,5.30446786463801e-07,3.68394843973595e-10,4.09679016828242e-10,896.565272411503,4096,0
Tier1_within_host,peak_V,alpha_R,\alpha_R,-5.57364965344624e-07,3.69569572412345e-10,0,3.69569572412345e-10,0,7.34078136134879e-07,3.52912952135333e-10,3.86758517877884e-10,896.565272411503,4096,0
Tier1_within_host,peak_V,kappa17,\kappa_{17},-1.02740041646861e-06,2.25804941178505e-10,0,2.25804941178505e-10,0,8.15044514658061e-08,2.0983027401809e-10,2.41579444587389e-10,896.565272411503,4096,0
Tier1_within_host,peak_V,t17,t_{17},-1.08892173259865e-06,4.08121678551618e-10,0,4.08121678551618e-10,0,4.17624958424352e-07,3.87038532591826e-10,4.33968717271654e-10,896.565272411503,4096,0
Tier1_within_host,t_clear,beta,\beta,-2.27241740230491,0.281112867119468,0,0.281112867119468,0,0,0.27056462300938,0.293088786108133,21.459114254591,4096,0
Tier1_within_host,t_clear,k,k,0.0435820579751485,0.0095266544647559,0.0435820579751485,0.0095266544647559,0.0297264385393367,0.0588210460918192,0.00886802953851639,0.0102848334175509,21.459114254591,4096,0
Tier1_within_host,t_clear,p,p,0.202696885989783,0.187818526486745,0.202696885989783,0.187818526486745,0.136035432907024,0.277925070695559,0.177181466360168,0.200833379581751,21.459114254591,4096,0
Tier1_within_host,t_clear,q,q,0.397845581833589,0.401683698070854,0.397845581833589,0.401683698070854,0.278987863671993,0.509208043111644,0.381627159748068,0.422955845736678,21.459114254591,4096,0
Tier1_within_host,t_clear,c,c,0.112793421610322,0.171953801067872,0.112793421610322,0.171953801067872,0.0474096377770037,0.18016417228049,0.162504789216642,0.1800989450934,21.459114254591,4096,0
Tier1_within_host,t_clear,delta,\delta,0.0930935166529381,0.235310694897919,0.0930935166529381,0.235310694897919,0.00994912038888385,0.171089625591045,0.222459688871347,0.246983184866258,21.459114254591,4096,0
Tier1_within_host,t_clear,rho_R,\rho_R,0.000265967257222739,5.0690455569995e-06,0.000265967257222739,5.0690455569995e-06,0,0.00062933158358608,4.68054317313271e-06,5.55271775115327e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,mu_R,\mu_R,0.000127777442563035,3.79885332090823e-06,0.000127777442563035,3.79885332090823e-06,0,0.000430810693277393,3.43112878276634e-06,4.19906001546355e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,rho_Ab,\rho_{Ab},-4.18746441235656e-05,4.22603204658084e-06,0,4.22603204658084e-06,0,0.000231509346212576,3.88231411901656e-06,4.64115694186837e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,theta_Ab,\theta_{Ab},-6.97892452665157e-05,4.53874048123409e-07,0,4.53874048123409e-07,0,2.5164184306566e-05,2.96058587175078e-07,6.1224972317852e-07,21.459114254591,4096,0
Tier1_within_host,t_clear,alpha_t,\alpha_t,0.000361759507782221,5.348933157447e-06,0.000361759507782221,5.348933157447e-06,0,0.000698300488792874,4.93219451782591e-06,5.79826266082784e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,alpha_R,\alpha_R,0.000346300760812734,5.46824093455592e-06,0.000346300760812734,5.46824093455592e-06,0,0.000710597843555933,5.11189948728613e-06,5.91796700717814e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,kappa17,\kappa_{17},0.00019922801268831,4.10555584287961e-06,0.00019922801268831,4.10555584287961e-06,0,0.000498171526332671,3.72385821232542e-06,4.44974263902808e-06,21.459114254591,4096,0
Tier1_within_host,t_clear,t17,t_{17},0.000127228617294735,5.61701416707052e-06,0.000127228617294735,5.61701416707052e-06,0,0.00046709195062097,5.1697106986862e-06,6.04739095848437e-06,21.459114254591,4096,0
