Setting,RelTol,AbsTol,MaxStep,Steps,Runtime_s,Peak_V,t_peak,T_clear,AUC_beta,Peak_Ag,Peak_A17,Peak_R,Peak_Ab,relDiff_Peak_V,absDiff_t_peak,absDiff_T_clear,relDiff_AUC_beta,relDiff_Peak_Ag,relDiff_Peak_A17
baseline,1e-10,1e-12,0.1,2764,0.08699,57.4188423330629,7.43639945167332,20.9951059864578,12.7323447354901,119.820945770457,328.066250998443,509.442247599208,5.48895460463253,0,0,0,0,0,0
RelTol_1e-8,1e-08,1e-12,0.1,1978,0.0372616,57.4165458512621,7.44261215368535,20.9840900208619,12.7323030570016,119.820867771907,328.064884413565,509.4417068688,5.48895469865386,3.99952647493583e-05,0.00621270201203306,0.01101596559581,3.27343386376569e-06,6.5095923247148e-07,4.16557593001816e-06
RelTol_1e-11,1e-11,1e-12,0.1,3313,0.0434253,57.4192007742858,7.42844062116467,20.9944291609758,12.7323510379174,119.820979604024,328.066684146158,509.442508829514,5.48895460502248,6.24257139891872e-06,0.00795883050864976,0.000676825481974674,4.94993454568033e-07,2.82367712822273e-07,1.3203056178022e-06
AbsTol_1e-10,1e-10,1e-10,0.1,2517,0.0363673,57.4193952091419,7.43220911088889,20.977772224477,12.7323488814021,119.820783964097,328.066827468256,509.442235354196,5.48895460260561,9.62882664677957e-06,0.00419034078443303,0.0173337619807299,3.25620466844106e-07,1.35040129217236e-06,1.75717499351954e-06
AbsTol_1e-13,1e-10,1e-13,0.1,2882,0.0382373,57.4193127705959,7.43348198812629,20.9954400502339,12.7323450236154,119.82087778396,328.066825663787,509.442419931106,5.48895460486094,8.19308634405878e-06,0.00291746354703015,0.000334063776143978,2.26293974084529e-08,5.67400771856243e-07,1.75167467537738e-06
MaxStep_0p05,1e-10,1e-12,0.05,3734,0.0458083,57.4188423330629,7.43639945167332,20.9951059864578,12.732344735389,119.820945770457,328.066250998443,509.442247599208,5.48895460463255,0,0,0,7.93800177351747e-12,0,0
MaxStep_0p2,1e-10,1e-12,0.2,2288,0.0302717,57.4188423330629,7.43639945167332,20.9951059864578,12.7323447354945,119.820945770457,328.066250998443,509.442247599208,5.48895460463226,0,0,0,3.4516084130415e-13,0,0
