Name,Base_archetype,Is_therapy,T_viremia_onset,T_infectious_onset,T_rash,T_infectious_duration,T_clearance,T_ode_clearance,M_emergent,Peak_V,Peak_Ag,AUC_beta
Healthy adult,1,0,2.61117189927488,8,12,8,16,17.5279664422454,0.000950333060733863,57.4188423330629,119.820945770457,12.7323447354901
Child,2,0,3.12870809829698,8,12,8,16,24.071396555679,0.0103595771914389,51.9828499479466,20.4483137099319,17.1189047324191
Elderly,3,0,2.57737268695334,8,12,8,16,24.3488067276316,0.0244076790063599,71.2984418319394,12.0069293414076,17.7046751584409
Immunocomp.,4,0,2.98159070413854,9,13,12,21,38.1675636879648,0.209388132786459,64.3751966522561,1.19011240967301,26.3880903843908
Partial vacc,5,0,5.61500254850943,8,12,8,16,5.0024150776487,0.00214592389318686,57.1821830976617,70.7407696436387,12.79295053567
Full vacc,6,0,8.05855896377296,7,11,8,15,5.0028098871719,1e-05,2.8267573355428,252.344440744808,4.70315982371853
Child+CTL,2,1,3.12871355607226,7,11,8,15,14.3161135457005,0.00022415707622786,31.186561542168,408.766681909564,8.96897590587362
IC+DC+CTL,4,1,2.98159088867908,8,12,13,21,29.109827009283,0.0447875579870659,63.5777028963786,33.663406688417,21.0957211202876
Elderly+CTL,3,1,2.57737274663151,7,11,8,15,14.0386229397933,0.00101993182423493,70.3132321585529,382.424284754977,9.54925214979977
